Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20200802;;;;;;;;;;;;;;;;;;
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1991;year;433,30;433,20;763,40;808,30;583,30;510,00;623,70;624,80;734,70;614,10;770,30;694,60;546,20;409,80;451,20;503,20;644,50
1992;year;540,30;539,90;985,90;947,40;828,80;553,10;769,00;768,10;916,90;803,80;747,20;895,20;670,90;595,90;654,50;728,30;796,00
1993;year;670,80;671,60;988,00;1007,70;817,60;738,70;926,20;926,10;1042,20;867,00;875,00;1017,20;786,10;648,50;710,40;788,30;885,70
1994;year;699,20;699,00;1062,00;956,40;866,20;722,90;917,00;916,60;1006,60;832,90;952,40;970,50;800,30;721,70;770,90;832,80;890,60
1995;year;610,90;610,60;1154,40;1111,80;855,10;619,60;768,20;767,90;874,90;929,70;733,30;1117,60;894,10;579,90;696,90;844,10;877,50
1996;year;480,50;480,10;885,00;866,30;681,60;490,80;597,30;595,50;733,10;634,90;553,70;724,40;651,40;499,00;575,10;670,70;682,90
1997;year;519,30;519,70;858,10;837,40;650,10;528,30;691,10;690,90;778,90;742,70;736,90;906,10;672,30;534,50;594,50;669,90;714,10
1998;year;641,30;641,50;998,60;1013,40;913,40;756,10;1004,20;1004,10;1126,40;873,50;1041,40;1002,70;793,30;637,00;721,60;827,90;919,70
1999;year;510,30;511,10;1158,80;1052,50;793,20;629,80;742,00;740,60;925,70;844,20;836,10;1023,00;697,40;529,10;628,60;753,60;838,00
2000;year;560,00;559,30;1025,70;1045,70;830,40;622,00;744,50;743,60;919,00;966,00;699,20;1165,50;777,20;570,30;655,30;762,40;838,00
2001;year;605,30;605,80;1184,00;1116,00;876,30;678,50;893,20;893,90;1001,90;883,50;899,80;1068,80;815,00;628,50;702,50;795,50;928,80
2002;year;722,70;723,20;1231,60;1230,00;994,70;739,90;991,30;991,80;1085,00;912,10;1026,60;1057,70;921,60;751,60;824,70;916,70;1018,10
2003;year;400,60;399,60;707,10;690,00;583,70;460,20;611,40;610,60;761,90;597,40;619,80;673,60;481,80;421,20;471,30;534,40;608,20
2004;year;582,60;583,00;927,80;912,60;781,80;641,70;838,10;838,00;957,60;755,70;887,70;860,70;776,00;582,40;656,20;749,10;811,90
2005;year;616,80;615,80;913,00;956,60;737,40;604,20;753,60;753,70;885,60;694,90;743,60;735,00;764,40;581,80;634,70;701,30;785,10
2006;year;466,50;465,80;972,20;909,30;751,30;582,90;692,20;692,30;842,30;757,40;777,80;888,80;645,40;478,20;573,70;693,80;750,00
2007;year;788,80;786,70;1049,60;1075,40;958,00;815,30;1006,80;1006,80;1128,20;846,40;983,00;985,90;849,00;806,10;868,90;948,10;969,50
2008;year;613,30;613,80;933,70;882,10;712,80;605,50;786,40;786,70;851,40;758,50;836,70;876,70;736,00;593,30;632,70;682,20;778,30
2009;year;614,10;613,80;968,10;967,40;808,70;585,10;749,50;749,10;877,90;808,80;773,20;899,50;796,60;635,00;719,00;824,30;812,70
2010;year;747,80;750,60;999,70;1001,10;801,30;725,10;774,80;774,60;870,00;834,50;861,50;958,30;986,80;750,80;791,40;842,40;868,50
2011;year;648,80;648,40;812,00;860,30;655,20;734,90;691,10;692,50;753,80;643,30;869,10;746,00;696,20;531,30;566,60;611,00;732,90
2012;year;577,00;576,70;977,20;927,00;749,70;533,60;694,40;694,40;816,50;785,60;799,70;889,00;729,80;540,40;609,00;696,40;767,50
2013;year;604,90;604,80;987,70;933,30;765,50;607,80;685,50;686,10;720,90;804,40;754,70;981,10;789,90;628,90;686,60;761,90;778,70
2014;year;528,10;529,70;875,40;821,70;743,20;605,70;683,10;682,70;820,10;752,80;805,30;836,50;623,50;550,50;601,50;668,10;727,10
2015;year;544,90;545,80;732,00;744,00;618,80;606,50;793,80;794,40;835,00;622,20;894,10;670,80;635,30;564,00;576,90;593,80;701,30
2016;year;510,90;511,70;954,90;923,30;687,80;517,90;652,90;653,40;770,70;746,90;742,60;889,20;715,50;484,60;551,80;639,40;733,10
2017;year;721,40;719,10;957,10;968,10;836,00;801,50;890,00;890,80;875,30;768,00;998,60;910,50;747,30;635,20;699,30;783,00;858,70
2018;year;390,40;390,30;765,00;757,30;576,40;430,10;512,20;512,30;617,70;657,30;577,90;872,70;468,50;352,50;420,60;509,50;586,30
2019;year;505,40;504,60;932,60;860,50;728,80;580,80;718,20;718,50;815,00;756,30;815,30;914,20;602,30;485,50;547,30;627,90;735,00
